"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"640ac43d-aa8b-4c39-a18e-a160107817e9",16104,"AVAM","de","f","Winzerin mit Meisterdiplom"
"eee6655d-7b01-4348-aa13-b6b20f7fa3a6",16105,"AVAM","de","f","Winzerin"
"248b86fc-2838-4357-aa6f-ad864e588628",16106,"AVAM","de","f","Küferin"
"819e10b8-c9e7-4b8b-bf44-6f3defaf4fa4",16201,"AVAM","de","f","Gemüsebäuerin"
"17b0974c-a711-4fa4-a010-c7599640e2a3",16202,"AVAM","de","f","Hilfsarbeiterin (Gemüse)"
"a016c67d-5270-4093-b498-59a2485b3146",16203,"AVAM","de","f","Gemüsegärtnerin mit Meisterdiplom"
"2eedd702-1b99-4977-8782-a1fa5bad3480",16204,"AVAM","de","f","Gemüsegärtnerin"
"12d4d1d6-7787-47f1-ba0b-45f164127a2c",16301,"AVAM","de","f","Schweinemästerin, -züchterin"
"b1e99392-b576-455d-8d36-ac311f8dcb09",16401,"AVAM","de","f","Geflügelzüchterin, -farmerin"
"6d4d4bbf-42b2-47ef-9650-bc93ec31ef70",16402,"AVAM","de","f","Geflügelzüchterin, Meisterin"
"8328e980-6f55-4c07-8782-49ce9abf385d",16501,"AVAM","de","f","Kleinviehhalterin, -züchterin"
"3c0ee15d-5bf9-40c6-b827-5be5d1526bbf",16602,"AVAM","de","f","Samenzüchterin"
"8b5ea086-2187-4eb5-b1ab-0d6e5335937d",16604,"AVAM","de","f","Pilzzüchterin"
"b362b0e9-d642-4e71-87d5-cfebb65c72f0",16605,"AVAM","de","f","Hilfsarbeiterin (Landwirtschaft, Spezialarbeiten)"
"7328845b-7b32-4ef3-8aca-5aa2d8a50467",16606,"AVAM","de","f","Imkerin"
"8f838803-7ce9-4b6d-b6eb-fd1bbd2a7b65",17001,"AVAM","de","f","Gärtnerin"
"1cea9fe9-3566-48d7-841c-2b33ca288653",17007,"AVAM","de","f","Gärtnerin, Floristin"
"25369749-4c9f-4ada-b3fb-dedecdd5fd72",17009,"AVAM","de","f","Hilfsarbeiterin Gartenbau"
"777365b9-34c3-4946-9ce3-2ce1ea6dfde7",17010,"AVAM","de","f","Gärtnermeisterin"
