id,x28_code,avam_code,code
7a19fa0c-5e98-4aee-b87b-17ae8bcd013e,11000622,60401,29112064
48869c40-6bff-4233-9a9c-12280959b719,11000623,93429,33206066
8b5d99c6-2280-4053-8902-c877619800ad,11000624,96116,47101048
49669140-2473-4069-a61e-608161839cdd,11000625,65710,34402015
1dd050e7-575a-4221-b48b-e5b7050d537c,11000626,65500,29405001
cf9c75b3-e473-4719-8c1c-472df9573546,11000627,63001,29207009
0443a551-e996-4ccf-83ee-b0351aeca146,11000629,88402,45301004
b56a505a-dacb-426b-bd1e-dba7b650c7a5,11000630,84434,29405086
a8f384c4-b6fb-498e-9e3a-1c4846047219,11000631,34200,27201004
d9749c36-7d19-4ebb-b7cf-aed8d9466008,11000632,90361,33304056
a9303988-7f14-4c2b-827d-a0dc3ab1e105,11000633,90361,33304056
0bea7863-2449-49ee-9413-4d8345268b8d,11000634,68058,33206023
49c5f34d-3c92-43ee-a211-0ed1ceb57afe,11000636,90361,33304056
863bbd56-d843-4614-8140-3a5e079c267d,11000637,42604,29505047
33e23cdd-eb0b-4fe7-ba42-1290c4d24b67,11000638,68907,33302007
b2359c9c-7ae9-4527-8600-127af6aa6305,11000639,68095,29112064
7c505ccd-5633-4459-ad95-5042906d3b98,11000640,65712,41105022
13b4ab25-d1c5-494d-883d-d41bbba61c8e,11000642,90323,38304030
3d1b6f32-2a2f-4cbd-9c3d-b7267b774fbf,11000643,90323,38304030
d16c06cc-ddbe-45c9-8129-149da2e1151d,11000644,90360,38304051
29e8ba7c-5006-410e-ae8e-cebdc89215ce,11000645,65500,29405001
b7fdeb2b-60c1-4645-9bda-eb50e5381c61,11000646,34313,27201027
363ceeee-7d86-43cd-a0b6-b865d2c6db98,11000647,63101,29207015
85ee4d86-7194-48f7-98d6-ed42fd85f102,11000648,60501,29106003
9e01659e-383c-4b8a-a3e2-5499eaa26950,11000649,47508,29405057
a9382e1b-38a2-4792-8ae7-3cfa073a21ae,11000650,63201,29201002
405ef6f1-1bda-4a5c-b84e-66531d015945,11000651,47425,25507041
83b8580f-c65e-45e4-93ca-1e4d716d1172,11000653,60918,29112060
ebaabfaf-a004-47d9-a4cf-e0e311ca03bb,11000654,66531,29405127
dc7ea1c8-d174-4faa-b644-bf75c629000a,11000655,68010,32101014
13525879-3b85-455b-971d-b3399e3c7af1,11000656,91120,29207016
1704b5fc-758e-48fd-96d1-bb8a83a763b1,11000657,62103,29112027
35d4f587-8e46-4ecd-9303-e3f980583834,11000659,62132,29112115
b325c0f8-6bc8-4054-9faf-8b94baec36ff,11000660,88804,45101002
9b5b3a89-7af3-466c-94e1-fa172ede0831,11000661,62103,29112027
3a6b73a6-9230-4f99-ab3c-333716183aae,11000662,61007,29101001
ab7138db-6cc0-4363-9a91-921ae3c39b8c,11000663,74114,34108054
2864ae00-a33f-4fc8-ac75-7ac2017cc06e,11000668,75301,34402029
02e7b60f-235d-4f70-8a5b-8eb3e9e6eb5c,11000670,93403,34401012
e9bfd067-b00c-4cd8-82e3-26811dd528b1,11000672,46604,25404021
