JOB_CENTER_ID                       , NAME                                                                                       , CITY                       , STREET                          , HOUSE_NUMBER, ZIP_CODE, LANGUAGE
f3e35bf7-1775-4ec3-b609-6502881cf0e1, RAV Thalwil                                                                                , Thalwil                    , Zürcherstrasse                  , 68          , 8800    , de
f3e35bf7-1775-4ec3-b609-6502881cf0e1, RAV Thalwil                                                                                , Thalwil                    , Zürcherstrasse                  , 68          , 8800    , it
c19cf2a9-c207-4b1b-8d3d-5e7dea95ad58, RAV Dietikon                                                                               , Dietikon                   , Neumattstrasse                  , 7           , 8953    , de
c19cf2a9-c207-4b1b-8d3d-5e7dea95ad58, RAV Dietikon                                                                               , Dietikon                   , Neumattstrasse                  , 7           , 8953    , it
c19cf2a9-c207-4b1b-8d3d-5e7dea95ad58, RAV Dietikon                                                                               , Dietikon                   , Neumattstrasse                  , 7           , 8953    , fr
0284ed5d-03d8-4291-a1a4-ae4627107eca, RAV Regensdorf                                                                             , Regensdorf                 , Pumpwerkstrasse                 , 15          , 8105    , de
0284ed5d-03d8-4291-a1a4-ae4627107eca, RAV Regensdorf                                                                             , Regensdorf                 , Pumpwerkstrasse                 , 15          , 8105    , it
0284ed5d-03d8-4291-a1a4-ae4627107eca, RAV Regensdorf                                                                             , Regensdorf                 , Pumpwerkstrasse                 , 15          , 8105    , fr
b9ca79b7-47b3-41ff-b654-cca1451ff14e, RAV Zürich Hardturmstrasse                                                                 , Zurigo 37                  , Hardturmstrasse                 , 11          , 8037    , it
b9ca79b7-47b3-41ff-b654-cca1451ff14e, RAV Zürich Hardturmstrasse                                                                 , Zürich                     , Hardturmstrasse                 , 11          , 8037    , de
b9ca79b7-47b3-41ff-b654-cca1451ff14e, RAV Zürich Hardturmstrasse                                                                 , Zurich 37                  , Hardturmstrasse                 , 11          , 8037    , fr
e03a0cb3-7872-45aa-93a8-9db770b4a765, RAV Zürich Staffelstrasse                                                                  , Zurich 27                  , Staffelstrasse                  , 8           , 8027    , fr
e03a0cb3-7872-45aa-93a8-9db770b4a765, RAV Zürich Staffelstrasse                                                                  , Zurigo 27                  , Staffelstrasse                  , 8           , 8027    , it
e03a0cb3-7872-45aa-93a8-9db770b4a765, RAV Zürich Staffelstrasse                                                                  , Zürich                     , Staffelstrasse                  , 8           , 8027    , de
422fa269-2b9f-44d3-aa97-27583f4ebc83, RAV Zürich Badenerstrasse                                                                  , Zürich                     , Badenerstrasse                  , 296         , 8040    , de
422fa269-2b9f-44d3-aa97-27583f4ebc83, RAV Zürich Badenerstrasse                                                                  , Zurich 40                  , Badenerstrasse                  , 296         , 8040    , fr
422fa269-2b9f-44d3-aa97-27583f4ebc83, RAV Zürich Badenerstrasse                                                                  , Zurigo 40                  , Badenerstrasse                  , 296         , 8040    , it
716d9714-1af7-41eb-9649-7b5372251c05, RAV Zürich Eggbühlstrasse                                                                  , Zurigo 50                  , Eggbühlstrasse                  , 36          , 8050    , it
716d9714-1af7-41eb-9649-7b5372251c05, RAV Zürich Eggbühlstrasse                                                                  , Zurich 50                  , Eggbühlstrasse                  , 36          , 8050    , fr
716d9714-1af7-41eb-9649-7b5372251c05, RAV Zürich Eggbühlstrasse                                                                  , Zürich                     , Eggbühlstrasse                  , 36          , 8050    , de
b6068b5b-a1ad-4d03-8e4d-4244dccab782, RAV Zürich Lagerstrasse                                                                    , Zurich 1                   , Lagerstrasse                    , 107         , 8021    , fr
b6068b5b-a1ad-4d03-8e4d-4244dccab782, RAV Zürich Lagerstrasse                                                                    , Zurigo 1                   , Lagerstrasse                    , 107         , 8021    , it
b6068b5b-a1ad-4d03-8e4d-4244dccab782, RAV Zürich Lagerstrasse                                                                    , Zürich 1                   , Lagerstrasse                    , 107         , 8021    , de
cb461981-abca-4edd-8775-584f992a8220, "Amt für Wirtschaft und Arbeit
Postfach"                                                   , Zurigo                     , Walchestrasse                   , 19          , 8090    , it
cb461981-abca-4edd-8775-584f992a8220, "Amt für Wirtschaft und Arbeit
Postfach"                                                   , Zürich                     , Walchestrasse                   , 19          , 8090    , de
cb461981-abca-4edd-8775-584f992a8220, "Amt für Wirtschaft und Arbeit
Postfach"                                                   , Zurich                     , Walchestrasse                   , 19          , 8090    , fr
c0915a77-6667-4119-9e69-9a5f1f6e9a0e, RAV Zürich Nansenstrasse                                                                   , Zürich                     , Nansenstrasse                   , 16          , 8050    , de
c0915a77-6667-4119-9e69-9a5f1f6e9a0e, RAV Zürich Nansenstrasse                                                                   , Zurich 50                  , Nansenstrasse                   , 16          , 8050    , fr
c0915a77-6667-4119-9e69-9a5f1f6e9a0e, RAV Zürich Nansenstrasse                                                                   , Zurigo 50                  , Nansenstrasse                   , 16          , 8050    , it
edb3a289-a531-43a0-8e3d-c782ae7a6362, "seco-Direktion für Arbeit
Arbeitsmarkt/Arbeitslosen-
versicherung"                       , Bern                       , Holzikofenweg                   , 36          , 3007    , de
edb3a289-a531-43a0-8e3d-c782ae7a6362, "seco-Direzione del lavoro
Mercato del lavoro/Assicurzione contro la disoccupazione"      , Berna                      , Holzikofenweg                   , 36          , 3007    , it
edb3a289-a531-43a0-8e3d-c782ae7a6362, "seco-Direction du travail
Marché du travail/Assurance chômage"                           , Berne                      , Holzikofenweg                   , 36          , 3007    , fr
